card_name,category,prediction
The Fool,card_name,The Fool
The Fool,love_single,"The Love Situation is Difficult to Guess What will be like. You may feel tired and bored with the love conditions that are curredtly encound. In Single, There Are Criteria to Find Long Distance Love. Or Find Love with Foreigners As Well it Was Asudden Meeting Uxpetedly. But The People Who come in Will Have a Clear Attitude for You."
The Fool,love_in_relationship,"During this period, you may be something to frustrated before Lover is not Sure. INCLUDING THE MOOD IS QUITE FLUCTUATING, Therefore Makes You Not Right But the Relationship is Not Reey Bad Bad Bad Because IT May Be Traveling Together to Support The Report The Report The Report Better."
The Fool,career,"During this Period, IT Will Be A Period When You Are Gery Bored. ESPECIALLY IF You Have to Work in the Same Way Every Day, IT Will Make You wanted New Challenges for your Own Working Life. There May Be Travel About Work. Both in the Country and Aboad in Addition, You may look for New Ideas or Ideas in the Work Content before. Or Being Too Crispy in Working Howver, You Will Work According To Your Own Emotions During this Period, Making Others Think That You Are Not Responsible for Their Duties As The They Should. ITERE IDEA OF Wan Change The Job, Should Wait for the First Time BECAUSE IT SUITABLE TO Change Anything in this Period."
The Fool,finance,"You tend to have some financial stress. But not Much with this card indicating the situation that is uncertain Therefore, Financial Matters Are The Same. Your Income and Expeditures are not very balanced. Causing this Period to Be Tender, You May Feel that You Do Not Use Extravagant Things or Buy Things that Are Too Expensive. But Yoursself Have a Systematic Money. Can Say that Spending As You Wish AS Well if you want anything, Buy without Hesitation. What making your money collection quite Difficult IT was a time temple. Or can be saved at all in addition, you tend to like risks. May Be Interted in Playing Stocks or Gambling As Well"
The Fool,health,"Should Be Careful of the Disease Caution by Traveling, Such As Allergies, Air, Allergic to Dust, Which Overall IS STIND THAT HE MANY Problems. However, Be Careful of Small Accidents that May Be Cauused by Negligence As Well. IN PEOPLE WHO SICK Or UNCONFORTABLE, You may to Be More Careful Because The Body is a STILL WEAK, CAUSING OLLNESS, As Well As Hiving to Recover First BECAUSE IT Will NOM DISAPPEAR in This Period."
The Fool,personality,"Optimistic Dare to Lose Love, Freedom, Love, Travel and Adventure Like Doing Risky Things Not Attachd to the Rules, Thinking Outside The Frame, Like a CheerFul Child, Has A LOT OF HUMOR FREARY EASY EASY EASY WITH PEH PEH PEH PEH PEH PEH PEH PEH PEH PEH PEH PEH PELENDS Lazy, Can Relax. USE More Emotions Than Reasons often do what you want. DON'T Think about the back curious and Some Angles will be impulsive. I'ml Go Up and Down."
The Fool,education,"In this period, you will be be quite bored. And Lacking Enthusiasm to Pay AtTion to Your Own Education You will have the Feeling that you want to do something. Therefore, IT is very Possible that you will focus on some subjects that you are in a formteed in or fun teacher. In Addition, Beware of Attaching Friends Too Much AtthaiD, So It's Note Interted in Studying. ITRE BEFORE The Exam During this Period, The Test Results Will Not Be Gery Satisfactory. Even if you can do the Exam Through in Summary, You Should Be More Dienienly, Otherwise The Grades May Come Out Wors Than You Think."
The Fool,luck,"You will have some fortune, but the opportunity is not Much. It is Possible that there may bexpented fortune. IF Asking About Luck, There Will Be some Hope. 50% Chance of Risk"
The Magician,card_name,The Magician
The Magician,love_single,"The Situation of Love in this Period May Be a Period that is just starting. Still Need to Study The Temperament First Don'T BE URGENT. If you are single, you may meet a carming person. New Relationships Have Occurred, But Still Do Not See The Clear Direction of the Relationship that Will Be Next."
The Magician,love_in_relationship,"You may be tired of the relationship. Lovers May Bee Bee Be Gery Much in this Period. However, if there is an awkward matter, it is best to open up and talk. Captures or Expecting a Lover Too Much BECAUSE IT Will Easily Lose Feelings in Addition, Some Lovers Should Be Released. Do not Follow the Fault or Expect Too Much in Your Lover BECAUSE IT Will Easily Lose Feelings."
The Magician,career,"There May Be New Things in Work, Such As Getting New Jobs Or Doing New Projects that Have Never Done Done Done. You will feel enthusiastic and ready to learn new things at work as a basis, and you tend to be a person who likes to think and like to plan, as well as the courage to present ideas and opinions as well, making people around us often trust you to be Responsible for Difficult Work, Which You will feel like a challenge and make your work fun of fun. IN Addition, IF Hiving to Present the Work to the Boss/Adult AT Work Will Do Smoothly and IS Impressive of the Boss, Including Your Colleagues As Well"
The Magician,finance,"Regarding the Financial Matters, There is still Money Coming in To Rotate with Interruption. IT May Not Be Gery Smooth, But There is a still no financial problem at this stage. If in the Past, You Had Financial Problems before, IT WOULD SHAT THOT THOT THOT THOSE WOULD GRADUALLY ALLEVIATE, Allowing You to Relieve Anxiety for a While. However, Do Not Create a New Problem by Spement Money as you wish. BECAUSE EVEN IF You Can Spin Money in A TIMEY MANNER ET WILL MAKE Your USE OF Money Systematically and There is a Problem Following in the Future Ir Own Business You May ALSO BEE IN PEOPLE WHO ARE Thinking of Investing New Things, The Should Study The Knowledge of Assets to Invest Well First. Do Not Believe in the Advice of the People You Know. BECAUSE ITRE INOT ENOUGH Knowledge of Investment, There May Be a Loss"
The Magician,health,"You Should Be Careful of the Disease Related to the Blood System. Including The Body Circulation System In Addition, Be Careful of Headachs Such As Stress or Migraine, Should Find Time to Rest and Do Not Overdo IT. IN PEOPLE WHO SICK O Uncomfortable, IT May Take Some Time to Recover. BECAUSE There Is STILL A CHANCE TOME BACK WITHOUT TAKING CARE OF THE BODY"
